index,image_link,group_id,entity_name
19,https://m.media-amazon.com/images/I/218BCzgKxuL.jpg,348551,voltage
37,https://m.media-amazon.com/images/I/21cLufe8Y5L.jpg,648011,voltage
60,https://m.media-amazon.com/images/I/21tOerzlVML.jpg,957050,voltage
65,https://m.media-amazon.com/images/I/21vv80MKQEL.jpg,709627,voltage
75,https://m.media-amazon.com/images/I/31+1xiVjZBL.jpg,997176,voltage
88,https://m.media-amazon.com/images/I/31+kevQrOnL.jpg,860821,voltage
97,https://m.media-amazon.com/images/I/31-4uQ1S2XL.jpg,709627,voltage
126,https://m.media-amazon.com/images/I/310Th3tbqRL.jpg,494500,voltage
165,https://m.media-amazon.com/images/I/311dT7UohfS.jpg,997176,voltage
184,https://m.media-amazon.com/images/I/313H+KOefpL.jpg,900671,voltage
206,https://m.media-amazon.com/images/I/3147F5NHEdL.jpg,900671,voltage
213,https://m.media-amazon.com/images/I/314gI8VlFOL.jpg,635528,voltage
216,https://m.media-amazon.com/images/I/314p2NKHdLL.jpg,348551,voltage
230,https://m.media-amazon.com/images/I/315PtJZRiFL.jpg,900671,voltage
278,https://m.media-amazon.com/images/I/317e7XKMYmS.jpg,983323,voltage
287,https://m.media-amazon.com/images/I/318TVw4iM1L.jpg,965518,voltage
299,https://m.media-amazon.com/images/I/319PRYi9q9L.jpg,276700,voltage
300,https://m.media-amazon.com/images/I/319RcGrykvS.jpg,952353,voltage
301,https://m.media-amazon.com/images/I/319Utc-4JCL.jpg,922709,voltage
323,https://m.media-amazon.com/images/I/31AnSDFDuuL.jpg,900671,voltage
334,https://m.media-amazon.com/images/I/31B43FuEJSL.jpg,525429,voltage
340,https://m.media-amazon.com/images/I/31BE5BamUYS.jpg,997176,voltage
378,https://m.media-amazon.com/images/I/31DKMfOhB4L.jpg,997176,voltage
384,https://m.media-amazon.com/images/I/31DTUHgs+EL.jpg,997176,voltage
388,https://m.media-amazon.com/images/I/31Dbs085g7L.jpg,240413,voltage
